id,fdc_id,name,origin_dataset
1328,2340869,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",survey_fndds_food
1329,2340870,"Chocolate milk, made from syrup, NS as to type of milk",survey_fndds_food
1330,2340871,"Chocolate milk, made from syrup with whole milk",survey_fndds_food
1331,2340872,"Chocolate milk, made from syrup with reduced fat milk",survey_fndds_food
1332,2340873,"Chocolate milk, made from syrup with low fat milk",survey_fndds_food
1333,2340874,"Chocolate milk, made from syrup with fat free milk",survey_fndds_food
1334,2340875,"Chocolate milk, made from syrup with non-dairy milk",survey_fndds_food
1335,2340876,"Chocolate milk, made from light syrup with whole milk",survey_fndds_food
1336,2340877,"Chocolate milk, made from light syrup with reduced fat milk",survey_fndds_food
1337,2340878,"Chocolate milk, made from light syrup with low fat milk",survey_fndds_food
1338,2340879,"Chocolate milk, made from light syrup with fat free milk",survey_fndds_food
1339,2340880,"Chocolate milk, made from sugar free syrup with whole milk",survey_fndds_food
1340,2340881,"Hot chocolate / Cocoa, made with dry mix and water",survey_fndds_food
1341,2340882,"Hot chocolate / Cocoa, made with dry mix and whole milk",survey_fndds_food
1342,2340883,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",survey_fndds_food
1343,2340884,"Hot chocolate / Cocoa, made with dry mix and low fat milk",survey_fndds_food
1344,2340885,"Hot chocolate / Cocoa, made with dry mix and fat free milk",survey_fndds_food
1345,2340886,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",survey_fndds_food
1346,2340887,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",survey_fndds_food
1347,2340888,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",survey_fndds_food
1348,2340889,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",survey_fndds_food
1349,2340890,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",survey_fndds_food
1350,2340891,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",survey_fndds_food
1351,2340892,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",survey_fndds_food
1352,2340893,"Strawberry milk, NFS",survey_fndds_food
1353,2340894,"Strawberry milk, whole",survey_fndds_food
1354,2340895,"Strawberry milk, reduced fat",survey_fndds_food
1355,2340896,"Strawberry milk, low fat",survey_fndds_food
1356,2340897,"Strawberry milk, fat free",survey_fndds_food
1357,2340898,"Strawberry milk, reduced sugar",survey_fndds_food
1358,2340899,"Strawberry milk, non-dairy",survey_fndds_food
1359,2340900,"Milk, malted",survey_fndds_food
1360,2340901,Eggnog,survey_fndds_food
1361,2340902,"Milk shake, home recipe, chocolate",survey_fndds_food
1362,2340903,"Milk shake, home recipe, flavors other than chocolate",survey_fndds_food
1363,2340904,"Milk shake, home recipe, chocolate, light",survey_fndds_food
1364,2340905,"Milk shake, home recipe, flavors other than chocolate, light",survey_fndds_food
1365,2340906,Milk shake with malt,survey_fndds_food
1366,2340907,"Milk shake, fast food, chocolate",survey_fndds_food
1367,2340908,"Milk shake, fast food, flavors other than chocolate",survey_fndds_food
1368,2340909,"Milk shake, bottled, chocolate",survey_fndds_food
1369,2340910,"Milk shake, bottled, flavors other than chocolate",survey_fndds_food
1370,2340911,Licuado or Batido,survey_fndds_food
1371,2340912,"Fruit smoothie, NFS",survey_fndds_food
1372,2340913,"Fruit smoothie, with whole fruit and dairy",survey_fndds_food
1373,2340914,"Fruit smoothie, with whole fruit and dairy, added protein",survey_fndds_food
1374,2340915,"Fruit smoothie juice drink, with dairy",survey_fndds_food
1375,2340916,Chocolate milk drink,survey_fndds_food
1376,2340917,"Infant formula, NFS",survey_fndds_food
1377,2340918,"Infant formula, Similac, NFS",survey_fndds_food
1378,2340919,"Infant formula, Similac Alimentum, ready-to-feed",survey_fndds_food
1379,2340920,"Infant formula, Similac Alimentum, powder, made with water",survey_fndds_food
1380,2340921,"Infant formula, Similac Advance, ready-to-feed",survey_fndds_food
1381,2340922,"Infant formula, Similac Advance, powder, made with tap water",survey_fndds_food
1382,2340923,"Infant formula, Similac Advance, powder, made with bottled water",survey_fndds_food
1383,2340924,"Infant formula, Similac Advance, powder, made with baby water",survey_fndds_food
1384,2340925,"Infant formula, Similac Sensitive, ready-to-feed",survey_fndds_food
1385,2340926,"Infant formula, Similac Sensitive, powder, made with tap water",survey_fndds_food
1386,2340927,"Infant formula, Similac Sensitive, powder, made with bottled water",survey_fndds_food
1387,2340928,"Infant formula, Similac Sensitive, powder, made with baby water",survey_fndds_food
1388,2340929,"Infant formula, Similac for Spit-Up, ready-to-feed",survey_fndds_food
1389,2340930,"Infant formula, Similac for Spit-Up, powder, made with water",survey_fndds_food
1390,2340931,"Toddler formula, Similac Go and Grow",survey_fndds_food
1391,2340932,"Infant formula, Enfamil, NFS",survey_fndds_food
1392,2340933,"Infant formula, Enfamil Premium Newborn, ready-to-feed",survey_fndds_food
1393,2340934,"Infant formula, Enfamil Premium Newborn, powder, made with water",survey_fndds_food
1394,2340935,"Infant formula, Enfamil Infant, ready-to-feed",survey_fndds_food
1395,2340936,"Infant formula, Enfamil Infant, powder, made with tap water",survey_fndds_food
1396,2340937,"Infant formula, Enfamil Infant, powder, made with bottled water",survey_fndds_food
1397,2340938,"Infant formula, Enfamil Infant, powder, made with baby water",survey_fndds_food
1398,2340939,"Infant formula, Enfamil AR, ready-to-feed",survey_fndds_food
1399,2340940,"Infant formula, Enfamil AR, powder, made with water",survey_fndds_food
1400,2340941,"Infant formula, Enfamil Gentlease, ready-to-feed",survey_fndds_food
1401,2340942,"Infant formula, Enfamil Gentlease, powder, made with tap water",survey_fndds_food
1402,2340943,"Infant formula, Enfamil Gentlease, powder, made with bottled water",survey_fndds_food
1403,2340944,"Infant formula, Enfamil Gentlease, powder, made with baby water",survey_fndds_food
1404,2340945,"Toddler formula, Enfamil Enfagrow",survey_fndds_food
1405,2340946,"Toddler formula, PediaSure",survey_fndds_food
1406,2340947,"Toddler formula, Nido Kinder",survey_fndds_food
1407,2340948,"Toddler formula, store brand, beginning or next stage",survey_fndds_food
1408,2340949,"Toddler formula, store brand, pediatric shake",survey_fndds_food
1409,2340950,"Infant formula, Gerber, NFS",survey_fndds_food
1410,2340951,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",survey_fndds_food
1411,2340952,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",survey_fndds_food
1412,2340953,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",survey_fndds_food
1413,2340954,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",survey_fndds_food
1414,2340955,"Infant formula, Gerber Good Start Gentle, Stage 2",survey_fndds_food
1415,2340956,"Toddler formula, Gerber Good Start, Stage 3",survey_fndds_food
1416,2340957,"Infant formula, premature, powder, made with water",survey_fndds_food
1417,2340958,"Infant formula, premature, ready-to-feed",survey_fndds_food
1418,2340959,"Infant formula, organic, powder, made with water",survey_fndds_food
1419,2340960,"Infant formula, organic, ready-to-feed",survey_fndds_food
1420,2340961,"Infant formula, store brand, advantage or tender, powder, made with tap water",survey_fndds_food
1421,2340962,"Infant formula, store brand, advantage or tender, powder, made with bottled water",survey_fndds_food
1422,2340963,"Infant formula, store brand, advantage or tender, powder, made with baby water",survey_fndds_food
1423,2340964,"Infant formula, store brand, gentle or sensitivity",survey_fndds_food
1424,2340965,"Infant formula, store brand, added rice",survey_fndds_food
1425,2340966,"Infant formula, Enfamil ProSobee, ready-to-feed",survey_fndds_food
1426,2340967,"Infant formula, Enfamil ProSobee, powder, made with tap water",survey_fndds_food
1427,2340968,"Infant formula, Enfamil ProSobee, powder, made with bottled water",survey_fndds_food
1428,2340969,"Infant formula, Enfamil ProSobee, powder, made with baby water",survey_fndds_food
1429,2340970,"Infant formula, Similac Isomil Soy, ready-to-feed",survey_fndds_food
1430,2340971,"Infant formula, Similac Isomil Soy, powder, made with tap water",survey_fndds_food
1431,2340972,"Infant formula, Similac Isomil Soy, powder, made with bottled water",survey_fndds_food
1432,2340973,"Infant formula, Similac Isomil Soy, powder, made with baby water",survey_fndds_food
1433,2340974,"Infant formula, Similac for Diarrhea",survey_fndds_food
1434,2340975,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",survey_fndds_food
1435,2340976,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",survey_fndds_food
1436,2340977,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",survey_fndds_food
1437,2340978,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",survey_fndds_food
1438,2340979,"Infant formula, store brand, soy",survey_fndds_food
1439,2340980,"Infant formula, Enfamil Nutramigen, ready-to-feed",survey_fndds_food
1440,2340981,"Infant formula, Enfamil Nutramigen, powder, made with water",survey_fndds_food
1441,2340982,"Infant formula, Enfamil Pregestimil, ready-to-feed",survey_fndds_food
1442,2340983,"Infant formula, Enfamil Pregestimil, powder, made with water",survey_fndds_food
1443,2340984,"Infant formula, amino acids",survey_fndds_food
1444,2340985,"Infant formula, low iron",survey_fndds_food
1445,2340986,"Milk, dry, not reconstituted, NS as to fat content",survey_fndds_food
1446,2340987,"Milk, dry, not reconstituted, fat free (skim)",survey_fndds_food
1447,2340988,"Whey, sweet, dry",survey_fndds_food
1448,2340989,"Cocoa powder, not reconstituted",survey_fndds_food
1449,2340990,"Chocolate beverage powder, dry mix, not reconstituted",survey_fndds_food
1450,2340991,"Chocolate beverage powder, light, dry mix, not reconstituted",survey_fndds_food
1451,2340992,"Milk, malted, dry mix, not reconstituted",survey_fndds_food
1452,2340993,"Strawberry beverage powder, dry mix, not reconstituted",survey_fndds_food
1453,2340994,"Cream, NS as to light, heavy, or half and half",survey_fndds_food
1454,2340995,"Cream, light",survey_fndds_food
1455,2340996,"Cream, half and half",survey_fndds_food
1456,2340997,"Cream, half and half, flavored",survey_fndds_food
1457,2340998,"Cream, half and half, fat free",survey_fndds_food
1458,2340999,"Cream, heavy",survey_fndds_food
1459,2341000,"Cream, whipped",survey_fndds_food
1460,2341001,"Coffee creamer, NFS",survey_fndds_food
1461,2341002,"Coffee creamer, liquid",survey_fndds_food
1462,2341003,"Coffee creamer, liquid, flavored",survey_fndds_food
1463,2341004,"Coffee creamer, liquid, fat free",survey_fndds_food
1464,2341005,"Coffee creamer, liquid, fat free, flavored",survey_fndds_food
1465,2341006,"Coffee creamer, liquid, fat free, sugar free, flavored",survey_fndds_food
1466,2341007,"Coffee creamer, liquid, sugar free, flavored",survey_fndds_food
1467,2341008,"Coffee creamer, powder",survey_fndds_food
1468,2341009,"Coffee creamer, powder, flavored",survey_fndds_food
1469,2341010,"Coffee creamer, powder, fat free",survey_fndds_food
1470,2341011,"Coffee creamer,powder, fat free, flavored",survey_fndds_food
1471,2341012,"Coffee creamer,powder, sugar free, flavored",survey_fndds_food
1472,2341013,"Coffee creamer, soy, liquid",survey_fndds_food
1473,2341014,Whipped topping,survey_fndds_food
1474,2341015,"Whipped topping, fat free",survey_fndds_food
1475,2341016,"Whipped topping, sugar free",survey_fndds_food
1476,2341017,"Sour cream, regular",survey_fndds_food
1477,2341018,"Sour cream, light",survey_fndds_food
1478,2341019,"Sour cream, fat free",survey_fndds_food
1479,2341020,"Sour cream, imitation",survey_fndds_food
1480,2341021,"Dip, NFS",survey_fndds_food
1481,2341022,"Chipotle dip, regular",survey_fndds_food
1482,2341023,"Chipotle dip, light",survey_fndds_food
1483,2341024,"Onion dip, regular",survey_fndds_food
1484,2341025,"Onion dip, light",survey_fndds_food
1485,2341026,"Ranch dip, regular",survey_fndds_food
1486,2341027,"Ranch dip, light",survey_fndds_food
1487,2341028,"Spinach dip, regular",survey_fndds_food
1488,2341029,"Spinach dip, light",survey_fndds_food
1489,2341030,"Vegetable dip, regular",survey_fndds_food
1490,2341031,"Vegetable dip, light",survey_fndds_food
1491,2341032,"Ice cream, NFS",survey_fndds_food
1492,2341033,"Ice cream, vanilla",survey_fndds_food
1493,2341034,"Ice cream, vanilla, with additional ingredients",survey_fndds_food
1494,2341035,"Ice cream, chocolate",survey_fndds_food
1495,2341036,"Ice cream, chocolate, with additional ingredients",survey_fndds_food
1496,2341037,"Ice cream, soft serve, vanilla",survey_fndds_food
1497,2341038,"Ice cream, soft serve, chocolate",survey_fndds_food
1498,2341039,"Gelato, vanilla",survey_fndds_food
1499,2341040,"Gelato, chocolate",survey_fndds_food
1500,2341041,"Ice cream bar, vanilla",survey_fndds_food
1501,2341042,"Ice cream bar, vanilla, chocolate coated",survey_fndds_food
1502,2341043,Ice cream candy bar,survey_fndds_food
1503,2341044,"Ice cream bar, chocolate",survey_fndds_food
1504,2341045,"Ice cream sandwich, vanilla",survey_fndds_food
1505,2341046,"Ice cream sandwich, chocolate",survey_fndds_food
1506,2341047,Ice cream cookie sandwich,survey_fndds_food
1507,2341048,"Ice cream cone, scooped, vanilla",survey_fndds_food
1508,2341049,"Ice cream cone, scooped, vanilla, waffle cone",survey_fndds_food
1509,2341050,"Ice cream cone, NFS",survey_fndds_food
1510,2341051,"Ice cream cone, scooped, chocolate",survey_fndds_food
1511,2341052,"Ice cream cone, scooped, chocolate, waffle cone",survey_fndds_food
1512,2341053,"Ice cream cone, soft serve, vanilla",survey_fndds_food
1513,2341054,"Ice cream cone, soft serve, chocolate",survey_fndds_food
1514,2341055,"Ice cream cone, soft serve, vanilla, waffle cone",survey_fndds_food
1515,2341056,"Ice cream cone, soft serve, chocolate, waffle cone",survey_fndds_food
1516,2341057,"Ice cream cone, vanilla, prepackaged",survey_fndds_food
1517,2341058,"Ice cream cone, chocolate, prepackaged",survey_fndds_food
1518,2341059,"Ice cream soda, flavors other than chocolate",survey_fndds_food
1519,2341060,"Ice cream soda, chocolate",survey_fndds_food
1520,2341061,"Ice cream sundae, NFS",survey_fndds_food
1521,2341062,"Ice cream sundae, fruit topping",survey_fndds_food
1522,2341063,Banana split,survey_fndds_food
1523,2341064,"Ice cream sundae, hot fudge topping",survey_fndds_food
1524,2341065,"Ice cream sundae, caramel topping",survey_fndds_food
1525,2341066,"Ice cream, fried",survey_fndds_food
1526,2341067,"Light ice cream, NFS",survey_fndds_food
1527,2341068,"Light ice cream, vanilla",survey_fndds_food
1528,2341069,"Light ice cream, chocolate",survey_fndds_food
1529,2341070,"Soft serve, blended with candy or cookies, from fast food",survey_fndds_food
1530,2341071,"Light ice cream sandwich, vanilla",survey_fndds_food
1531,2341072,"Light ice cream sandwich, chocolate",survey_fndds_food
1532,2341073,"Light ice cream bar, vanilla",survey_fndds_food
1533,2341074,"Light ice cream bar, vanilla, chocolate coated",survey_fndds_food
1534,2341075,"Light ice cream bar, chocolate",survey_fndds_food
1535,2341076,Creamsicle,survey_fndds_food
1536,2341077,Fudgesicle,survey_fndds_food
1537,2341078,"Light ice cream cone, vanilla, prepackaged",survey_fndds_food
1538,2341079,"Light ice cream cone, chocolate, prepackaged",survey_fndds_food
1539,2341080,"Sherbet, all flavors",survey_fndds_food
1540,2341081,"Fudgesicle, light",survey_fndds_food
1541,2341082,"Pudding, chocolate, NFS",survey_fndds_food
1542,2341083,"Pudding, bread",survey_fndds_food
1543,2341084,"Pudding, flavors other than chocolate, NFS",survey_fndds_food
1544,2341085,Custard,survey_fndds_food
1545,2341086,Flan,survey_fndds_food
1546,2341087,Creme brulee,survey_fndds_food
1547,2341088,"Pudding, rice",survey_fndds_food
1548,2341089,"Firni, Indian pudding",survey_fndds_food
1549,2341090,"Pudding, tapioca, made from dry mix",survey_fndds_food
1550,2341091,"Pudding, flavors other than chocolate, made from dry mix",survey_fndds_food
1551,2341092,"Pudding, chocolate, made from dry mix",survey_fndds_food
1552,2341093,"Pudding, flavors other than chocolate, made from dry mix, sugar free",survey_fndds_food
1553,2341094,"Pudding, chocolate, made from dry mix, sugar free",survey_fndds_food
1554,2341095,"Pudding, flavors other than chocolate, ready-to-eat",survey_fndds_food
1555,2341096,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",survey_fndds_food
1556,2341097,"Pudding, chocolate, ready-to-eat",survey_fndds_food
1557,2341098,"Pudding, chocolate, ready-to-eat, sugar free",survey_fndds_food
1558,2341099,"Pudding, tapioca, ready-to-eat",survey_fndds_food
1559,2341100,Banana pudding,survey_fndds_food
1560,2341101,Mousse,survey_fndds_food
1561,2341102,Dulce de leche,survey_fndds_food
1562,2341103,"Barfi or Burfi, Indian dessert",survey_fndds_food
1563,2341104,Trifle,survey_fndds_food
1564,2341105,Tiramisu,survey_fndds_food
1565,2341106,White sauce or gravy,survey_fndds_food
1566,2341107,"Cheese, NFS",survey_fndds_food
1567,2341108,"Cheese, Blue or Roquefort",survey_fndds_food
1568,2341109,"Cheese, Brick",survey_fndds_food
1569,2341110,"Cheese, Camembert",survey_fndds_food
1570,2341111,"Cheese, Brie",survey_fndds_food
1571,2341112,"Cheese, Cheddar",survey_fndds_food
1572,2341113,"Cheese, Cheddar, reduced fat",survey_fndds_food
1573,2341114,"Cheese, Cheddar, nonfat or fat free",survey_fndds_food
1574,2341115,"Cheese, Colby",survey_fndds_food
1575,2341116,"Cheese, Colby Jack",survey_fndds_food
1576,2341117,"Cheese, Feta",survey_fndds_food
1577,2341118,"Cheese, Fontina",survey_fndds_food
1578,2341119,"Cheese, goat",survey_fndds_food
1579,2341120,"Cheese, Gouda or Edam",survey_fndds_food
1580,2341121,"Cheese, Gruyere",survey_fndds_food
1581,2341122,"Cheese, Limburger",survey_fndds_food
1582,2341123,"Cheese, Monterey",survey_fndds_food
1583,2341124,"Cheese, Monterey, reduced fat",survey_fndds_food
1584,2341125,"Cheese, Mozzarella, NFS",survey_fndds_food
1585,2341126,"Cheese, Mozzarella, part skim",survey_fndds_food
1586,2341127,"Cheese, Mozzarella, reduced sodium",survey_fndds_food
1587,2341128,"Cheese, Mozzarella, nonfat or fat free",survey_fndds_food
1588,2341129,"Cheese, Muenster",survey_fndds_food
1589,2341130,"Cheese, Muenster, reduced fat",survey_fndds_food
1590,2341131,"Cheese, Parmesan, dry grated",survey_fndds_food
1591,2341132,"Cheese, Parmesan, dry grated, reduced fat",survey_fndds_food
1592,2341133,"Cheese, Parmesan, hard",survey_fndds_food
1593,2341134,"Cheese, Parmesan, dry grated, fat free",survey_fndds_food
1594,2341135,"Cheese, Port du Salut",survey_fndds_food
1595,2341136,"Cheese, Provolone",survey_fndds_food
1596,2341137,"Cheese, provolone, reduced fat",survey_fndds_food
1597,2341138,"Cheese, Swiss",survey_fndds_food
1598,2341139,"Cheese, Swiss, reduced sodium",survey_fndds_food
1599,2341140,"Cheese, Swiss, reduced fat",survey_fndds_food
1600,2341141,"Cheese, Swiss, nonfat or fat free",survey_fndds_food
1601,2341142,"Cheese, Cheddar, reduced sodium",survey_fndds_food
1602,2341143,"Cheese, paneer",survey_fndds_food
1603,2341144,"Cheese, Mexican blend",survey_fndds_food
1604,2341145,"Cheese, Mexican blend, reduced fat",survey_fndds_food
1605,2341146,"Queso Anejo, aged Mexican cheese",survey_fndds_food
1606,2341147,Queso Asadero,survey_fndds_food
1607,2341148,Queso Fresco,survey_fndds_food
1608,2341149,Queso cotija,survey_fndds_food
1609,2341150,"Cheese, cottage, NFS",survey_fndds_food
1610,2341151,"Cheese, cottage, creamed, large or small curd",survey_fndds_food
1611,2341152,"Cottage cheese, farmer's",survey_fndds_food
1612,2341153,"Cheese, Ricotta",survey_fndds_food
1613,2341154,"Cheese, cottage, with fruit",survey_fndds_food
1614,2341155,"Cheese, cottage, with vegetables",survey_fndds_food
1615,2341156,"Cheese, cottage, dry curd",survey_fndds_food
1616,2341157,"Cheese, cottage, salted, dry curd",survey_fndds_food
1617,2341158,Puerto Rican white cheese,survey_fndds_food
1618,2341159,"Cheese, cottage, low fat",survey_fndds_food
1619,2341160,"Cheese, cottage, lowfat, with fruit",survey_fndds_food
1620,2341161,"Cheese, cottage, lowfat, low sodium",survey_fndds_food
1621,2341162,"Cheese, cottage, lowfat, lactose reduced",survey_fndds_food
1622,2341163,"Cream cheese, regular, plain",survey_fndds_food
1623,2341164,"Cream cheese, regular, flavored",survey_fndds_food
1624,2341165,"Cream cheese, light",survey_fndds_food
1625,2341166,"Cheese, American and Swiss blends",survey_fndds_food
1626,2341167,"Cheese, American",survey_fndds_food
